CO,C6H6,NMHC,Nox,NO2,O3,T,RH,AH
5.6,27.5,1492,716,166,1770,13.1,62.9,0.943
5.9,23.3,1386,782,177,1734,12,67.5,0.9467
2.5,11.1,1020,377,133,1379,10,73.2,0.8988
2.9,11.5,1032,391,123,1331,9.4,75,0.8874
2.5,10.2,985,433,120,1240,8.5,76.9,0.8557
1.7,6,814,287,105,1036,8.4,75.9,0.8407
1.1,3.7,695,192,86,826,6.2,82.1,0.7825
0.9,3.2,666,161,77,798,7,77.3,0.7759
1,3.7,694,194,81,817,6.5,79.7,0.7751
1.6,8,901,343,103,1055,7.7,76.8,0.8112
3.1,16.3,1190,624,127,1391,8.2,74.9,0.8184
4.1,24,1403,758,134,1665,8.8,73.2,0.8298
2.2,11.3,1025,319,135,1332,14.2,54.1,0.8707
2.4,12.9,1081,338,133,1369,14.2,54.3,0.8757
2.7,14.1,1118,380,134,1373,14,56.3,0.894
2.7,15.8,1175,366,137,1397,13.5,57.8,0.8933
3.9,19.9,1295,567,160,1577,12.3,63,0.9015
5.2,26.6,1470,702,166,1783,11.4,68,0.9166
2.9,13.3,1093,373,129,1356,11,67.1,0.8766
3.3,13,1085,467,129,1419,9.5,71.3,0.8458
2,7.5,880,260,107,1177,8.8,71,0.8089
1.8,7.8,892,244,101,1141,8,73.4,0.7899
2.7,8.8,930,317,112,1179,7.6,73,0.7629
1.8,6.4,830,224,98,1056,7.1,73.9,0.7515
1.3,4.5,736,176,90,973,7.1,73.5,0.7439
1.1,4.2,721,103,59,836,5.1,81.3,0.7204
1.4,7.3,869,374,110,1039,5.7,79.3,0.7326
4.1,17.7,1229,754,147,1638,8,71.9,0.7712
3.8,17.1,1212,750,179,1568,9.3,67.1,0.7849
3.1,14.7,1140,590,164,1433,10.2,63.6,0.7928
3.3,17.4,1222,525,160,1452,11,60.9,0.7966
2.7,14.5,1134,360,138,1336,12.2,56.9,0.8068
5,24.3,1412,733,196,1748,10.3,66.3,0.8286
5.7,26.1,1458,847,197,1776,8.2,74.9,0.8187
5.8,26.4,1463,765,189,1802,7.9,77.1,0.8223
5.8,25.7,1447,715,188,1796,8.3,75,0.8253
5,18.2,1246,716,190,1600,8.2,75.2,0.8185
1.7,6.2,819,235,126,1083,8.3,69.7,0.7632
1.6,6.7,845,198,113,1064,6.7,74.4,0.7344
2.3,7.5,877,293,129,1104,6.4,74.9,0.7238
2.4,7.5,878,356,128,1053,4.9,80.1,0.7011
2,6.2,820,285,122,1009,4.8,79.4,0.6872
1.1,3.1,659,158,92,800,3.4,81.4,0.6425
1,2.8,641,95,70,784,4.2,77,0.6439
1.3,4.3,728,148,83,854,3.5,80.8,0.6406
1.9,9.7,967,337,127,1065,3.5,80.3,0.6366
2.6,10.9,1012,453,142,1161,4,78.5,0.645
2.4,10,977,448,153,1202,5.6,72.3,0.6627
2.7,11.6,1035,496,177,1338,7.5,64.4,0.672
3.1,15.6,1166,535,179,1505,8.9,60.8,0.6921
4.4,18.1,1244,644,212,1715,10.6,55.3,0.7058
3.2,12.3,1061,459,182,1473,12.3,46.3,0.6597
3,15.2,1154,515,179,1544,10.5,55.1,0.6993
5.2,20.8,1319,816,194,1784,7.9,69.9,0.7487
3.3,12.8,1078,505,166,1519,7.6,65.3,0.6842
3.6,14.7,1140,560,168,1532,6.5,67.6,0.6608
3.8,13.6,1104,531,165,1499,5.2,67.8,0.6028
3.2,9.8,970,487,165,1306,4.9,67.1,0.5863
2.1,7.6,884,293,128,1172,5.1,65.5,0.5811
1.7,5.9,807,219,115,1005,3.7,68.9,0.5549
1.4,4.2,721,198,120,913,4.5,62.7,0.5343
1.2,4.5,737,166,106,922,4.7,62.3,0.5368
1.4,4.8,751,312,156,952,5.7,54.5,0.5034
1.7,6.3,827,236,130,915,6.1,50.3,0.4769
1,2.6,625,172,112,687,9,39.5,0.4554
1,2.6,629,138,96,597,10.7,34.4,0.4406
0.8,2.2,602,121,89,527,11.1,33.4,0.4401
1,3,652,143,98,573,11.9,30.8,0.4285
0.8,1.9,576,114,85,492,11.4,32,0.431
0.7,2,584,107,80,463,11.3,32.5,0.4334
1.1,2.8,642,176,112,565,11,33,0.4331
1.1,3.3,668,180,121,632,10.3,35,0.4377
2,7.1,861,331,160,943,8.3,38.5,0.4228
2.2,7.4,873,369,167,985,8.1,37.9,0.41
1.2,3.9,705,199,130,767,7,41.5,0.4193
1.5,5.2,771,248,145,895,6.6,42.6,0.4179
1.4,3.8,701,197,133,791,6.4,44.2,0.428
1.2,3.5,682,147,110,770,6,46,0.4349
1,2.9,648,135,100,839,4.4,53.1,0.4484
0.7,1.1,512,95,79,720,3.7,55.8,0.4489
0.5,1,504,94,79,682,2.6,58.6,0.4385
0.7,1.6,552,121,90,723,3.2,56,0.4364
1,3.2,667,131,95,813,3.6,55.4,0.4419
3,15.9,1176,552,169,1365,1.8,63.3,0.4464
4.1,18,1239,614,199,1472,2.4,60.2,0.4426
3.8,15.1,1153,721,208,1626,8.2,40.5,0.4414
2.7,13.4,1096,474,178,1476,10.5,34.7,0.4393
3.1,14.7,1138,504,177,1503,11.1,32.6,0.4292
3.2,17,1209,508,182,1488,12.4,28.3,0.4076
3.3,15.3,1158,529,182,1435,12.9,24.5,0.363
4,21.2,1330,676,193,1725,11.4,28.7,0.3865
8.6,43,1831,1216,272,2331,9.2,39.3,0.4573
8.7,37.2,1712,1230,225,2312,7.8,48.1,0.5115
3.6,16.7,1201,582,181,1699,7.2,50.6,0.517
3,13.4,1098,460,172,1587,6,53.3,0.5008
1.9,8.7,926,340,153,1390,5.3,55,0.4921
1.9,7.4,875,298,143,1347,4.2,58.1,0.4832
1.6,6.7,845,300,142,1268,3.4,60.9,0.4809
1.4,5,762,223,131,1155,3,60.2,0.4639
1,3.4,677,151,105,1024,3.2,58.8,0.4578
1.5,6.9,855,341,140,1210,3.4,58.5,0.4608
3.1,16.8,1204,552,167,1531,3.9,57.3,0.4661
5.1,20.3,1305,839,175,1745,4.3,56.8,0.4768
5.8,25,1428,1049,235,1974,5.6,52.9,0.4841
4.4,21.4,1336,999,211,1985,5.1,64.3,0.5697
4.9,25.1,1432,1022,234,2068,5.5,66.1,0.601
5.2,28,1502,1023,240,2087,5.5,69.3,0.6331
4.6,26.1,1457,1065,243,1994,5,75.5,0.6667
4.8,24.7,1420,1098,224,1971,5.2,76.2,0.6796
4.9,24.5,1416,1099,240,1941,5.3,77.4,0.6954
5.5,26,1455,875,216,1813,5.1,83,0.7352
4.2,21.7,1342,745,184,1677,6.4,82.9,0.8022
0.1,3.3,670,135,104,828,11.3,71.8,0.9577
0.2,4.9,758,167,104,867,9.8,81.9,0.9923
0.9,6.6,840,232,124,974,9.5,83.8,0.9972
1,6.7,842,273,127,975,9.9,81,0.9885
0.4,4.4,733,165,109,902,9.9,79.8,0.9725
0.1,2.5,622,130,89,730,5.6,69.5,0.6362
0.7,7.6,881,265,128,974,7,64.9,0.6512
1.2,7.3,868,314,152,958,7.1,65.4,0.6644
0.3,4.6,742,193,110,661,8.6,63.3,0.7073
0.6,6.7,845,263,128,856,10,55,0.6753
0.2,4.3,729,176,114,639,9.4,53.6,0.6333
0.7,4.1,715,170,112,646,8.7,55.1,0.6228
1.8,7.6,883,234,130,846,8.9,54.4,0.62
2.2,7,858,256,135,857,8.6,53.6,0.5992
2.3,9.6,962,257,141,942,9,50.4,0.5809
1.1,2.4,611,135,95,562,8.8,52.1,0.5918
1.8,4.1,715,186,112,723,8.7,51.1,0.5755
1.1,2.5,618,102,74,555,8.6,51.5,0.5772
0.9,1.3,530,75,62,472,8.5,51.9,0.5766
0.6,0.7,470,41,40,412,7.8,54.2,0.5755
0.6,0.9,493,50,45,453,7.1,56,0.569
0.9,2.9,646,189,93,702,7,57.6,0.5784
1,2.7,636,182,104,720,7.5,55.3,0.5734
3.4,14.4,1130,636,162,1311,7,56.3,0.566
4.2,17.2,1217,704,169,1444,7.6,53.5,0.5605
2.6,12.6,1071,438,150,1289,14.4,28.9,0.4723
3,14.3,1128,438,154,1280,14.8,25.4,0.4259
2.3,10.3,990,378,140,1059,15.1,20.8,0.3536
3,14.5,1134,482,167,1299,15.4,23.5,0.4076
4.5,21.9,1349,709,204,1638,13.7,28.1,0.4381
6,28.5,1516,796,210,1946,11.5,37.5,0.5068
4.3,21.2,1330,605,182,1798,10.4,42.3,0.5337
3.4,16,1179,472,165,1609,9.9,44,0.5381
2.8,13,1085,411,150,1531,8.7,48.3,0.5458
2.1,7,856,264,132,1338,8.1,49.9,0.5417
1.7,6.4,829,217,120,1274,7.3,52.8,0.5419
1.6,5.6,795,179,110,1143,6.8,56.4,0.5609
1.4,4.5,740,135,94,1048,6.7,57.4,0.5654
1.3,6.6,841,284,117,1368,5.5,66.5,0.6054
1.6,9.2,948,357,121,1540,5.9,65.8,0.6178
2.4,12.2,1056,469,138,1575,6.4,63.9,0.6192
4.5,22.6,1367,766,174,1856,7.2,62.2,0.6351
5.7,29,1527,875,179,2086,7.9,60,0.6406
4.3,19.4,1280,800,175,1948,8.3,58.5,0.6403
4.2,20.5,1311,815,183,2022,9.3,54.5,0.6415
4.5,22.5,1365,841,189,2104,10.2,53.1,0.6608
5,24,1403,827,198,2195,11.1,51.4,0.679
3,16.8,1204,415,139,1947,13.1,48,0.7181
3.3,20.2,1303,435,99,2171,13.5,51.5,0.793
1.4,16.4,1191,570,135,1920,13.4,51.2,0.7808
1.6,20.3,1305,617,194,1919,12,56.5,0.7924
4.9,38.1,1731,983,244,2254,10.4,64.4,0.8123
6.4,35.7,1679,1200,243,2210,9.4,69.1,0.815
1.7,18.2,1246,797,207,1791,8.1,73.8,0.7968
1.5,15.1,1153,757,198,1506,7.1,77.3,0.7826
0.5,11.5,1032,388,126,1300,7,77.8,0.7848
0.9,13.7,1106,497,144,1383,5.7,80.5,0.7416
0.4,11.6,1036,582,183,1413,5.2,81.4,0.7276
0.5,13.2,1091,574,193,1471,5.6,80.4,0.7349
0.8,15.6,1167,588,196,1619,6.3,78.8,0.7544
1.6,18.5,1254,643,217,1881,9.2,67.7,0.79
1,15,1149,461,192,1699,15,50.2,0.8495
1.3,16.9,1206,455,186,1677,14.9,49.9,0.8394
0.1,7,857,244,133,1088,15.8,33.8,0.6034
0.1,8.6,925,310,148,1066,13.4,27.2,0.4157
0.7,12.6,1072,444,175,1220,11.3,25.7,0.3422
2.7,21.1,1327,794,224,1613,9.7,31.9,0.3848
2.1,16.9,1208,716,215,1577,8.4,36.5,0.4035
0.8,10.1,981,451,195,1445,8,36,0.3872
0.3,0.6,459,43,40,390,6.6,51.3,0.5026
0.5,1.2,520,86,67,479,7,47.2,0.4745
0.6,2.9,644,152,104,732,6.6,47.9,0.4686
1.8,11.1,1018,341,169,1149,7.2,49.8,0.5061
2,9.7,967,355,203,1136,6.9,52.8,0.5293
1.4,5.7,800,327,183,934,8.7,46.7,0.5249
0.6,5.4,783,240,151,845,10,40.6,0.4971
0.5,5.1,771,217,138,808,11.8,35.4,0.4877
0.7,5.8,804,191,127,783,10.7,37.2,0.4788
1.3,7.1,860,287,172,922,10.6,34.2,0.4375
1,7.6,884,278,163,951,8.9,38.1,0.4341
1.5,10.4,992,302,180,1051,7.8,39.7,0.4206
1.5,8.9,934,259,169,967,7.3,42.2,0.4341
1.2,7.3,870,221,152,861,6.9,42.5,0.4257
0.3,3.6,689,142,107,631,6.6,43.2,0.4247
0.2,2.9,646,180,115,476,4.3,45.9,0.3843
0.7,5.4,785,243,157,704,4.2,50.1,0.4168
0.5,5.1,769,236,147,735,3.4,62.7,0.4943
0.4,3.8,702,297,188,735,5,51.4,0.4534
0.3,3.9,703,235,126,653,5.7,44.1,0.4063
0.3,3.6,686,186,114,603,5.2,44.5,0.3968
0.4,4.2,722,196,123,645,4.7,48.6,0.4194
0.2,3.6,687,167,107,564,4.5,51,0.4327
0.4,3.6,689,211,121,614,5.1,50.1,0.4432
0.4,3.9,706,194,118,658,5,50.4,0.443
0.7,4.9,758,206,134,719,4.3,56.4,0.4721
1,5.8,803,211,142,772,4.3,56.7,0.476
1.1,6.1,814,197,133,812,4.3,57,0.4771
0.3,2.8,638,139,106,583,3.5,60.3,0.4782
0.1,2.4,616,113,87,491,4.1,52.5,0.4351
0.3,3.3,668,227,136,519,3.3,50.2,0.3934
0.6,4.4,733,250,163,681,3.5,47.5,0.3778
0.3,2.8,638,219,143,583,4.3,49.4,0.4136
0.1,3.2,662,211,134,628,4.5,48.4,0.4131
0.2,3.5,683,180,122,572,4.3,49.7,0.4166
0.5,4.8,751,197,129,637,4.9,45.3,0.3955
0.3,3.4,678,198,132,579,5.6,42.4,0.3884
0.3,4.2,721,203,133,666,5.7,43.1,0.3984
0.3,4.2,720,188,126,707,4.8,49.7,0.4305
1.4,9.2,945,302,185,1026,5.3,44.4,0.397
1.4,7.6,884,261,169,910,4.9,47.9,0.418
1.1,6.2,822,232,151,897,4.7,50.8,0.4398
0.4,2.9,645,154,114,651,4.6,54.8,0.4704
0.2,2.5,620,120,90,598,4,56.8,0.4688
0.2,2.6,628,117,87,560,4.2,46.8,0.39
0.2,2.5,622,97,74,574,4.1,42.1,0.3487
0.5,0.7,470,81,61,382,4.3,42.5,0.3556
0.7,1.4,533,129,91,488,4.6,38.1,0.3267
1.9,6.6,837,336,184,915,4.6,39.4,0.3367
2,5.5,790,318,185,897,5.9,40.2,0.376
1.3,3.5,683,201,125,699,7,38.4,0.3861
1.2,4.1,716,192,115,643,6.6,41.2,0.4046
1.5,4.7,748,198,126,685,7.3,36.8,0.3779
1.3,4.5,736,198,125,673,7.3,35,0.3584
1.5,4.7,747,223,139,691,7,33.5,0.3367
1.5,5.1,769,224,142,726,6.5,32.4,0.3155
2.1,7.7,886,266,170,912,5.7,33.9,0.3131
3,11.5,1032,343,202,1136,4.7,38.3,0.3306
2,6,811,243,168,909,4.5,39.9,0.339
1.4,3.6,689,177,128,719,4.3,41.1,0.3451
1.1,2.4,613,124,97,579,3.3,47.4,0.3716
0.5,0.9,486,58,49,422,4,47.8,0.3919
0.7,1.7,559,122,92,556,4.1,47.4,0.3926
1.6,6.2,823,274,167,879,4.2,48.7,0.4073
2.2,8.2,909,342,206,993,4.1,49.8,0.4117
1.8,6.4,832,296,184,892,4.3,48.4,0.4043
1.5,5.9,808,279,176,901,4.6,49.7,0.4271
1.8,5.7,798,325,191,874,4.5,49.6,0.421
2.1,7.3,871,279,174,836,4.7,47.2,0.4075
1.6,5.1,767,248,167,669,4.2,49.5,0.4118
1.3,3.9,706,193,138,600,3.4,50.7,0.3991
0.7,0.8,480,70,60,376,1.9,49.7,0.3528
0.5,0.5,445,37,34,330,1.4,53.8,0.3687
0.4,0.6,458,43,37,334,1.4,52.3,0.3591
0.8,2,586,125,92,473,1.4,53.1,0.3642
1.1,2.8,641,154,110,553,1.7,54.1,0.3785
1.1,3,652,150,96,547,2.9,48.7,0.3706
1.1,2.5,618,135,96,505,3.1,48.1,0.3722
1.3,3.4,676,167,115,555,4,44.9,0.3689
1.4,3,653,165,118,551,3.3,46.8,0.3671
1.3,3.1,657,190,134,569,3.1,48.1,0.3707
1.4,3.4,678,176,125,594,2.8,49,0.37
1.5,2.9,649,196,140,598,3.1,47.4,0.3661
1,1.6,553,91,73,412,2.8,49.1,0.3726
1.1,2.3,604,119,92,469,2.9,49.7,0.3782
1,1.7,560,101,82,430,3.2,46.9,0.3658
0.6,0.6,459,55,50,368,3.1,44.4,0.342
0.5,0.6,454,51,44,348,3,43.4,0.3337
0.4,0.4,431,53,49,354,2.8,43.8,0.3308
0.5,0.7,465,74,62,382,2.7,43.2,0.3259
0.7,1.2,520,113,85,450,3.3,42.3,0.3299
0.8,2,583,101,77,441,5.6,37.5,0.3426
1,2,585,129,92,454,7.2,34.2,0.3488
0.9,1.6,552,126,95,415,6.9,35.6,0.3561
0.9,1.6,553,132,95,419,8.2,30.1,0.3281
0.9,1.8,566,101,76,368,7.6,27.9,0.2927
1,1.8,569,128,95,397,7.9,25.9,0.2774
1.1,2,582,174,123,473,6.3,28.8,0.2772
1.2,2.8,641,215,140,537,5.4,30.1,0.2726
1.6,3.9,708,248,163,670,5,31.1,0.273
1.7,4.1,715,247,164,711,4.6,33.8,0.2898
0.8,1,495,68,61,355,4,36.4,0.2982
0.4,0.4,435,39,37,292,3.7,37.7,0.3024
0.4,0.3,415,39,37,293,3.4,38.9,0.3075
0.4,0.6,449,54,50,328,3.7,37.5,0.3012
3.5,15.1,1153,584,283,1667,6.6,34.4,0.3359
3.1,12.8,1078,563,261,1426,11.9,18.6,0.2581
2.7,11.7,1040,398,194,1187,13.2,17.3,0.2606
3.2,15.7,1170,503,204,1425,14.1,18.2,0.2908
4.1,21.1,1328,640,228,1722,13,20.3,0.303
6.1,27.4,1490,843,270,2051,10.4,24.7,0.3116
6.8,30.8,1570,954,285,2179,8.6,29.8,0.3344
6.8,29.2,1533,984,282,2214,7.3,36.8,0.3771
2.1,7.1,863,360,208,1527,5.4,43.5,0.3922
1.4,5.4,782,231,161,1377,5.1,45.6,0.4056
1.3,4.8,756,200,146,1317,4.2,49.4,0.412
0.8,3.6,688,196,115,1204,2.5,64.8,0.4807
0.9,3.8,701,208,114,1216,1.8,68.9,0.4878
1.1,4.2,724,241,122,1198,2,64.9,0.4661
1.6,7.7,886,417,149,1381,2.2,65.3,0.473
4.8,22.1,1353,966,198,2112,3.7,61.7,0.4967
4.1,17.2,1215,878,196,2038,4.4,58.8,0.4979
4.5,21.4,1334,985,218,2118,5.8,54.1,0.502
4.5,19.8,1292,1017,227,2110,7.3,50.8,0.5226
3.7,18.8,1264,683,181,1965,9.5,47.2,0.5589
4.2,18.8,1264,660,179,1888,11.8,44.4,0.6118
3.3,16.7,1202,492,151,1774,12.7,45.5,0.6648
3.2,14.4,1129,497,162,1626,13.5,44.8,0.6898
3.6,16.3,1190,562,165,1761,12.3,48.9,0.6967
3.5,14.4,1128,539,173,1533,10.8,40.3,0.5201
4.1,17,1211,502,188,1531,9.4,36.7,0.4324
3,6.1,818,289,150,1210,7.3,43.8,0.4505
2.6,5.4,783,221,137,1167,6.7,47.6,0.4688
2.6,4.7,747,204,133,1133,6.6,51.2,0.5007
2.6,5.1,769,183,122,1109,6.4,52.6,0.5074
2.9,6.9,854,222,130,1218,5.3,57.8,0.5177
2.5,4.8,753,210,121,1149,3.3,66.8,0.5215
2,3.6,688,185,115,1090,3.7,62.9,0.5059
2.2,4.5,737,257,125,1114,2.6,67.5,0.5034
2.4,5.2,771,297,136,1089,3.5,60.9,0.4857
4,15.1,1151,573,174,1446,2.7,63.4,0.4787
5.6,19.6,1285,824,230,1809,5.8,53.1,0.4942
4,14.5,1132,714,204,1696,12.7,30,0.4398
1.9,8.3,913,326,127,990,14.1,18.1,0.2884
1.8,9,940,329,124,1027,14.5,18,0.2956
3.1,13.4,1096,465,158,1359,13.2,20.4,0.3074
4.8,19.5,1284,612,171,1618,10.5,25.1,0.3194
5.8,27.8,1499,759,193,1869,8.9,31.4,0.3597
4.1,15.6,1168,655,212,1756,6.7,39.6,0.3906
1.7,7.8,892,287,167,1423,4.9,45.9,0.3999
1.5,6,812,242,153,1265,3.9,51.6,0.4226
0.4,2.8,640,194,130,1010,2.1,60.3,0.4368
0.6,4.2,724,216,134,1067,1.3,63.1,0.4322
3,16.7,1202,728,275,1630,1.3,64.8,0.441
2.2,10.3,989,551,235,1597,11.5,33,0.4476
2.7,13.8,1110,565,241,1776,12.2,34.3,0.4864
2.7,12.7,1074,532,214,1636,13.5,35,0.5396
2.1,11.4,1030,459,174,1480,14.9,34.9,0.5869
2,10.2,986,407,157,1413,15.7,34.5,0.6111
2.4,14.3,1128,434,170,1611,14.7,37.2,0.618
6.4,29,1527,966,249,2203,10.3,52.4,0.6578
2.7,12.6,1069,471,216,1662,8.3,57.6,0.6304
3,15.5,1164,528,217,1674,6.3,65.1,0.6237
2.1,9.1,943,378,203,1462,6.5,63.1,0.6132
1.2,6.4,828,235,161,1273,6,62.7,0.589
0.7,3.3,672,141,111,1031,4.7,64.6,0.5568
0.8,3.1,657,158,115,991,5,63.5,0.5575
0.4,2.2,601,87,80,925,3.9,65.5,0.5367
0.7,3.9,703,194,122,1017,1.8,74.5,0.5271
4,19.7,1288,887,306,1638,2.3,70.9,0.5182
3.9,20.1,1300,654,301,1672,4.4,61.1,0.5176
3.2,14.3,1127,649,247,1641,12.1,36.9,0.5212
1.5,7,857,309,169,1117,15,28.5,0.4821
1.2,6.3,825,229,138,901,14.5,28.3,0.4665
1.9,8.6,923,312,149,1046,12.9,31.8,0.4707
1.5,6.6,841,276,165,884,12.1,32.3,0.4548
1.9,8.8,932,312,184,1056,11.4,32.6,0.4373
2.2,9.4,954,345,197,1139,9.1,37.8,0.4372
3,11.8,1043,386,204,1248,8.1,41,0.4458
2.6,11.3,1025,356,207,1200,7.7,41.9,0.4409
2.8,9.7,968,467,208,1220,7.1,43.9,0.4433
1.6,5.8,805,287,174,1032,6.3,45.8,0.4408
1.3,5.3,776,239,157,971,6,46.1,0.4351
1.5,5.1,769,261,167,1049,4.9,52,0.4548
2,7,859,272,164,1163,1.5,66.2,0.4571
1.3,4.4,731,226,149,1018,1,67.7,0.4523
0.9,5.6,792,250,150,1121,0.8,69.9,0.4591
1.4,7.3,868,402,205,1200,1.3,67.2,0.4598
3.1,12.7,1074,708,283,1403,2,63.6,0.4564
4.1,11.3,1024,759,310,1365,4.1,52.7,0.4345
1.3,4.9,760,302,200,940,7.5,39.2,0.4091
0.9,3.8,702,210,147,750,9,34.5,0.398
1,3.4,678,180,128,652,9.2,34.5,0.4025
1,4.2,723,165,121,643,9.3,33.8,0.3981
1.1,3.7,696,180,129,629,9.3,33.1,0.3874
0.8,3.3,668,147,110,549,9.7,30.8,0.3716
1,3.4,674,177,126,578,9.6,31.1,0.3718
0.9,3.1,659,157,121,582,8.6,32.8,0.3669
0.9,4.3,725,195,142,694,7.2,35,0.3567
1.6,6.2,821,263,174,926,6.4,36.8,0.3566
1.4,5.8,801,267,180,986,5.5,42.6,0.3874
1.1,3.5,685,214,157,840,4.9,43.7,0.3809
1.8,4.7,749,251,173,869,4,39.2,0.3228
1.4,4.9,756,255,176,908,3.7,40.1,0.323
1.4,5,761,235,172,1051,3.1,47.1,0.3638
0.8,1.8,572,95,88,793,1.2,51.9,0.3515
0.7,1.3,531,95,85,753,1,52.2,0.3489
0.7,1.5,543,100,88,737,0.6,53.3,0.3467
0.6,1.3,526,110,94,722,0.8,52.8,0.3468
1.3,4.3,727,197,137,913,4.1,42.9,0.3551
2,6.7,844,351,212,1117,8,33.3,0.3591
1.7,4.6,743,249,173,774,10.7,25.2,0.3242
1.2,3.5,683,188,135,558,11.1,23.5,0.3105
1,2.1,590,127,100,420,10.6,26,0.332
0.8,1.9,576,96,78,363,10.3,27.7,0.3481
1,2.7,633,138,100,410,10.2,28.3,0.3516
1.4,3.7,693,217,150,568,9.2,29.9,0.3479
1.1,2.9,649,186,142,570,6.9,36.4,0.3635
1.6,4.5,736,227,165,774,6,38,0.3584
1.4,3.7,692,193,149,737,5.8,35.4,0.3286
1.1,2.6,627,158,126,610,5.4,36.6,0.3304
1,2.4,614,150,120,627,5.1,37.9,0.3358
1.1,2.4,613,130,110,566,4.8,38,0.33
1,2,582,104,92,517,4.5,38.1,0.3249
0.8,1.5,545,86,78,484,4.3,38.1,0.3207
0.6,0.8,482,67,65,496,3.8,41,0.3327
0.6,1,495,75,73,623,3.3,44.6,0.3499
0.8,2.4,615,177,133,916,3.4,47,0.3713
2.3,8.7,929,433,246,1309,2.9,49.5,0.3775
2.8,10.5,996,471,281,1396,5.6,40.5,0.3704
2.1,7.9,896,346,222,1226,7.5,33.8,0.352
1.7,6.5,835,262,182,1002,10.8,25.2,0.3251
1.4,5.7,797,221,154,769,12.9,20.6,0.3045
1.6,6.2,820,265,168,784,12.2,21.4,0.3033
1.4,5.4,784,219,149,643,12,21.9,0.3069
1.3,4.9,761,235,156,682,12.2,24,0.3392
1.4,5,765,227,156,692,12,24.3,0.3393
1.7,6.9,854,285,187,926,10.5,27.8,0.3525
2.3,8.2,908,295,204,1095,7.8,37.6,0.4004
1.6,4.5,738,209,154,893,7.1,39.6,0.4019
0.9,2.1,589,105,90,550,6.9,39.6,0.3966
0.9,1.4,534,84,74,470,7,39.8,0.4006
0.5,0.8,479,51,49,375,7.1,40.5,0.409
0.6,1.3,524,74,69,600,6.4,42.7,0.4126
0.6,1.6,551,114,92,712,6.1,43.6,0.4129
1,3,653,228,146,931,5.9,45.1,0.4211
2.1,10,979,455,224,1332,6,46.4,0.4367
2.2,8.6,922,410,225,1223,8.7,36.3,0.4074
1.6,6.9,853,277,180,1122,10.5,33.4,0.4246
1.8,7.6,881,340,194,1099,11.4,27.8,0.3748
1.5,6.9,854,238,158,904,12.7,27.4,0.4011
1.6,5.3,777,286,165,719,13.9,20.7,0.3271
1.5,4.4,733,271,156,609,13.6,20,0.3093
4,16.8,1203,490,207,2141,8.5,50.9,0.5664
3.6,12.6,1069,422,192,1967,7.1,58.1,0.5885
4.2,14.2,1124,541,211,1931,5.8,64.3,0.5964
4.3,12.9,1080,599,229,1889,5.3,66.8,0.5979
3.6,9.7,967,490,216,1699,5,66.6,0.5871
1.4,7.3,870,274,156,1427,4.6,67.6,0.5778
1.6,8.8,933,338,176,1489,5.2,65.5,0.5836
2.3,11.9,1046,496,224,1610,6,62.8,0.5929
2.4,12,1049,433,207,1619,7.1,59.3,0.6005
2.7,11.9,1045,496,221,1706,7.8,58,0.6136
3.4,16.2,1186,615,229,1882,9,54.7,0.6271
3.1,17.6,1229,551,208,1911,10,53.1,0.6495
3.6,17.6,1229,575,207,1943,10.8,52,0.6738
3.4,16.7,1202,582,225,2008,10.9,52,0.6796
4.6,23,1378,851,248,2225,11,53.6,0.7033
5,24.6,1419,903,251,2317,11,55.1,0.7221
5.2,23.2,1382,894,262,2355,11.1,56.9,0.7506
5,22,1352,839,241,2375,10.2,60,0.7461
4.5,20.4,1309,743,231,2494,10.1,59.9,0.7379
4.1,18,1239,671,229,2411,9.9,63.2,0.7706
2.9,11.5,1031,373,153,1541,8.5,82.9,0.9243
2.6,10.9,1012,324,150,1441,8.3,84,0.9234
2.8,11.9,1047,424,149,1411,8.7,83.7,0.9423
3.3,13.4,1097,522,155,1497,9.5,82.4,0.976
3.2,13,1084,492,158,1619,11,78.2,1.022
3.3,11.2,1023,492,188,1590,14.1,67.9,1.0859
1.5,5.5,787,204,154,1163,16.3,56.6,1.0422
1.2,4.9,758,142,107,1001,18.7,48,1.0259
1.7,8.4,917,126,106,773,19.9,34.1,0.782
1,4.4,734,115,90,588,19.4,32.4,0.7239
1,4.3,727,137,100,610,17.1,35.8,0.6944
2.1,7.8,891,331,179,1002,13.9,43.8,0.6937
1,3.7,694,141,116,711,13.7,42.9,0.6687
1.3,5.3,777,228,143,1024,12.5,47.8,0.6877
1.5,5.6,793,228,142,1054,11.8,53.4,0.7366
1.4,5.3,778,203,135,994,10.9,55.9,0.7312
1.6,6,811,215,136,1031,10.1,58.9,0.7301
1.1,4,709,142,109,884,9.8,61.2,0.7413
0.5,1.8,567,66,62,688,8.3,67.2,0.7382
0.4,1.5,548,54,49,617,7.7,68.9,0.728
0.7,2.9,646,121,81,818,6.9,70,0.6997
0.7,2.2,597,141,104,690,9,37.3,0.4297
2.3,11.4,1030,388,176,1291,9.4,44.9,0.5296
2.5,9.5,958,366,193,1200,10.3,45.4,0.5666
1.7,11.6,1036,254,168,1127,11.5,39.6,0.5372
2.5,33.9,1639,164,123,1582,11.7,36.9,0.506
2.1,7.6,882,142,111,700,11.8,36.2,0.4999
1.1,7,857,162,120,693,12,38.7,0.5402
1.3,6.9,853,177,123,709,13.7,30.3,0.4724
